Timesteps,Ep_Rew_Mean
500,41.843474
1000,42.135287
1500,41.480785
2000,41.616702
2500,40.439853
3000,41.697112
3500,40.985592
4000,41.216682
4500,41.883881
5000,42.341087
5500,41.661642
6000,41.737138
6500,41.762972
7000,41.879845
7500,40.880545
8000,40.746252
8500,42.321125
9000,41.544961
9500,42.153337
10000,42.534731
10500,42.018254
11000,41.745165
11500,42.649266
12000,41.002629
12500,42.268973
13000,41.355515
13500,42.062655
14000,42.91794
14500,41.944904
15000,41.944405
15500,41.462025
16000,41.463719
16500,40.775985
17000,41.255446
17500,41.592228
18000,42.259444
18500,44.154367
19000,41.833591
19500,42.474332
20000,42.869674
20500,42.200688
21000,42.684953
21500,42.460828
22000,43.866266
22500,43.683048
23000,42.443051
23500,42.172245
24000,42.475902
24500,42.515437
25000,42.40125
25500,42.963913
26000,43.252932
26500,43.85908
27000,44.72683
27500,41.078169
28000,43.746322
28500,43.674385
29000,44.12348
29500,43.35408
30000,43.206936
30500,43.560109
31000,43.79644
31500,43.502098
32000,43.244037
32500,44.470598
33000,44.571763
33500,43.680978
34000,43.07239
34500,43.965555
35000,43.422368
35500,44.690469
36000,43.0797
36500,43.021043
37000,44.646197
37500,43.741028
38000,43.322933
38500,44.782378
39000,44.013626
39500,44.925194
40000,44.425229
40500,45.135536
41000,44.868753
41500,45.677248
42000,44.55318
42500,45.447295
43000,45.364251
43500,44.40881
44000,44.960783
44500,45.030389
45000,44.859633
45500,45.248992
46000,45.239402
46500,45.149746
47000,45.217953
47500,44.920279
48000,44.13531
48500,45.805552
49000,44.433009
49500,44.738192
50000,44.629231
50500,46.749849
51000,46.43969
51500,45.272153
52000,45.136613
52500,46.549633
53000,45.937148
53500,45.785401
54000,44.754276
54500,46.097898
55000,45.575327
55500,44.153434
56000,45.495275
56500,45.008116
57000,45.402606
57500,47.532135
58000,46.737295
58500,46.026274
59000,44.879575
59500,46.032045
60000,46.37066
60500,46.529334
61000,47.474525
61500,46.120423
62000,46.781294
62500,44.858964
63000,46.033501
63500,47.169515
64000,46.249606
64500,46.102128
65000,47.045017
65500,48.064557
66000,46.395839
66500,46.75046
67000,46.908302
67500,46.24395
68000,46.396443
68500,47.673157
69000,47.081317
69500,46.642171
70000,46.016286
70500,46.811013
71000,47.44002
71500,48.965916
72000,47.114307
72500,48.203402
73000,46.291759
73500,52.823237
74000,47.920143
74500,48.473704
75000,47.87329
75500,49.755473
76000,46.961935
76500,48.217082
77000,48.858102
77500,47.083638
78000,49.280137
78500,49.273992
79000,49.211822
79500,47.779725
80000,49.81798
80500,49.853176
81000,48.316839
81500,51.229613
82000,49.026468
82500,48.986833
83000,48.391934
83500,49.261205
84000,49.755001
84500,49.390343
85000,48.748757
85500,50.579777
86000,52.065645
86500,49.289367
87000,50.264229
87500,48.621201
88000,48.318165
88500,49.650013
89000,49.61664
89500,50.720477
90000,51.827155
90500,51.037402
91000,48.629572
91500,49.057657
92000,52.127667
92500,49.52218
93000,56.050977
93500,49.971501
94000,50.526066
94500,49.681885
95000,53.194955
95500,51.339043
96000,51.367528
96500,53.359673
97000,52.863019
97500,52.986508
98000,50.096635
98500,54.246777
99000,50.536687
99500,52.807315
100000,52.358338
