Timesteps,Ep_Rew_Mean
500,41.318289
1000,41.874366
1500,40.636893
2000,41.128954
2500,41.735263
3000,41.289062
3500,41.48546
4000,40.615699
4500,40.788031
5000,40.719579
5500,42.228776
6000,41.974828
6500,40.21282
7000,44.511921
7500,41.290052
8000,42.298685
8500,40.546983
9000,44.35115
9500,42.986455
10000,43.753352
10500,43.602615
11000,42.97665
11500,43.165379
12000,43.604502
12500,43.375763
13000,43.914297
13500,41.362295
14000,43.120552
14500,41.377671
15000,46.217611
15500,46.972932
16000,46.656578
16500,45.666304
17000,46.295576
17500,44.728694
18000,46.284291
18500,48.051769
19000,46.829402
19500,48.03692
20000,47.009639
20500,49.474149
21000,45.694204
21500,50.015131
22000,51.221711
22500,49.891085
23000,53.138967
23500,52.22209
24000,48.966765
24500,49.583479
25000,51.062364
25500,53.495649
26000,50.727507
26500,54.375626
27000,57.091768
27500,56.059596
28000,55.863426
28500,52.458806
29000,60.328641
29500,57.144241
30000,59.440901
30500,57.572266
31000,59.640573
31500,66.546847
32000,56.6175
32500,61.760689
33000,72.486797
33500,59.011158
34000,66.520907
34500,64.004969
35000,75.304721
35500,68.204263
36000,65.093074
36500,73.865901
37000,64.67091
37500,72.645706
38000,74.29569
38500,66.094072
39000,77.188235
39500,67.172877
40000,80.191499
40500,70.226991
41000,75.34638
41500,76.585095
42000,70.921568
42500,74.865059
43000,76.465168
43500,83.170457
44000,79.824687
44500,75.955789
45000,80.171342
45500,82.84707
46000,81.624384
46500,83.428407
47000,80.961526
47500,81.438009
48000,77.761873
48500,83.182292
49000,77.748261
49500,85.947677
50000,84.954844
50500,84.474293
51000,72.345767
51500,85.46998
52000,83.210653
52500,86.477188
53000,86.424468
53500,88.640347
54000,86.760098
54500,85.768307
55000,85.215322
55500,85.309279
56000,90.367972
56500,90.897511
57000,87.872
57500,89.793026
58000,94.541939
58500,91.993383
59000,90.812645
59500,90.264481
60000,93.568775
60500,90.529361
61000,89.185922
61500,89.900862
62000,83.361167
62500,93.206488
63000,88.625752
63500,88.921956
64000,89.454429
64500,89.245342
65000,89.872845
65500,97.033066
66000,95.954726
66500,95.914482
67000,92.987542
67500,94.97322
68000,88.672243
68500,92.579276
69000,96.051528
69500,92.889781
70000,93.909512
70500,98.633946
71000,95.561028
71500,94.576484
72000,98.408143
72500,99.115131
73000,96.489776
73500,92.579553
74000,97.358271
74500,99.143005
75000,97.512117
75500,94.022902
76000,100.122893
76500,98.921249
77000,99.468598
77500,96.427379
78000,100.382009
78500,99.785238
79000,97.973802
79500,100.466938
80000,100.417143
80500,100.29384
81000,99.801857
81500,103.23178
82000,99.947155
82500,101.039922
83000,100.32224
83500,106.246687
84000,101.898859
84500,103.617533
85000,113.513777
85500,111.073549
86000,106.831189
86500,108.182793
87000,106.253221
87500,114.968073
88000,101.585581
88500,106.205467
89000,114.424886
89500,103.558385
90000,113.339691
90500,103.798859
91000,102.497345
91500,103.132973
92000,97.890567
92500,104.375286
93000,105.876707
93500,109.053088
94000,106.098236
94500,113.130843
95000,111.058328
95500,102.045477
96000,109.8425
96500,115.272608
97000,116.107023
97500,108.559517
98000,108.915456
98500,115.255131
99000,105.125792
99500,109.847151
100000,107.442464
